acronysm;country;confederation name
CFU ;Haiti;Caribbean Zone
CFU ;Jamaica;Caribbean Zone
CFU ;Martinique;Caribbean Zone
CFU ;Montserrat;Caribbean Zone
CFU ;Puerto Rico;Caribbean Zone
CFU ;Saint Kitts and Nevis;Caribbean Zone
CFU ;Saint Lucia;Caribbean Zone
CFU ;Saint Martin;Caribbean Zone
CFU ;Saint Vincent and the Grenadines;Caribbean Zone
CFU ;Sint Maarten;Caribbean Zone
CFU ;Suriname;Caribbean Zone
CFU ;Trinidad and Tobago;Caribbean Zone
CFU ;Turks and Caicos Islands;Caribbean Zone
CFU ;US Virgin Islands;Caribbean Zone
CONMEBOL;Argentina;South American Football Confederation
CONMEBOL;Bolivia;South American Football Confederation
CONMEBOL;Brazil;South American Football Confederation
CONMEBOL;Chile;South American Football Confederation
CONMEBOL;Colombia;South American Football Confederation
CONMEBOL;Ecuador;South American Football Confederation
CONMEBOL;Paraguay;South American Football Confederation
CONMEBOL;Peru;South American Football Confederation
CONMEBOL;Uruguay;South American Football Confederation
CONMEBOL;Venezuela;South American Football Confederation
OFC;American Samoa;Oceania Football Confederation
OFC;Cook Islands;Oceania Football Confederation
OFC;Fiji;Oceania Football Confederation
OFC;Kiribati;Oceania Football Confederation
OFC;New Caledonia;Oceania Football Confederation
OFC;New Zealand;Oceania Football Confederation
OFC;Niue;Oceania Football Confederation
OFC;Papua New Guinea;Oceania Football Confederation
OFC;Samoa;Oceania Football Confederation
OFC;Solomon Islands;Oceania Football Confederation
OFC;Tahiti;Oceania Football Confederation
OFC;Tonga;Oceania Football Confederation
OFC;Tuvalu;Oceania Football Confederation
OFC;Vanuatu;Oceania Football Confederation
UEFA ;Albania;Union of European Football Associations
UEFA ;Andorra;Union of European Football Associations
UEFA ;Armenia;Union of European Football Associations
UEFA ;Austria;Union of European Football Associations
UEFA ;Azerbaijan;Union of European Football Associations
UEFA ;Belarus;Union of European Football Associations
UEFA ;Belgium;Union of European Football Associations
UEFA ;Bosnia and Herzegovina;Union of European Football Associations
UEFA ;Bulgaria;Union of European Football Associations
UEFA ;Croatia;Union of European Football Associations
UEFA ;Cyprus;Union of European Football Associations
UEFA ;Czech Republic;Union of European Football Associations
UEFA ;Denmark;Union of European Football Associations
UEFA ;England;Union of European Football Associations
UEFA ;Estonia;Union of European Football Associations
UEFA ;Faroe Islands;Union of European Football Associations
UEFA ;Finland;Union of European Football Associations
UEFA ;France;Union of European Football Associations
UEFA ;Georgia;Union of European Football Associations
UEFA ;Germany;Union of European Football Associations
UEFA ;Gibraltar;Union of European Football Associations
UEFA ;Greece;Union of European Football Associations
UEFA ;Hungary;Union of European Football Associations
UEFA ;Iceland;Union of European Football Associations
UEFA ;Israel;Union of European Football Associations
UEFA ;Italy;Union of European Football Associations
UEFA ;Kazakhstan;Union of European Football Associations
UEFA ;Kosovo;Union of European Football Associations
UEFA ;Latvia;Union of European Football Associations
UEFA ;Liechtenstein;Union of European Football Associations
UEFA ;Lithuania;Union of European Football Associations
UEFA ;Luxembourg;Union of European Football Associations
UEFA ;Malta;Union of European Football Associations
UEFA ;Moldova;Union of European Football Associations
UEFA ;Montenegro;Union of European Football Associations
UEFA ;Netherlands;Union of European Football Associations
UEFA ;North Macedonia;Union of European Football Associations
UEFA ;Northern Island;Union of European Football Associations
UEFA ;Norway;Union of European Football Associations
UEFA ;Poland;Union of European Football Associations
UEFA ;Portugal;Union of European Football Associations
UEFA ;Republic of Ireland;Union of European Football Associations
UEFA ;Romania;Union of European Football Associations
UEFA ;Russia;Union of European Football Associations
UEFA ;San Marino;Union of European Football Associations
UEFA ;Scotland;Union of European Football Associations
UEFA ;Serbia;Union of European Football Associations
UEFA ;Slovakia;Union of European Football Associations
UEFA ;Slovenia;Union of European Football Associations
UEFA ;Spain;Union of European Football Associations
UEFA ;Sweden;Union of European Football Associations
UEFA ;Switzerland;Union of European Football Associations
UEFA ;Turkey;Union of European Football Associations
UEFA ;Ukraine;Union of European Football Associations
UEFA ;Wales;Union of European Football Associations
